race_date,source_cname
2019-01-05,pw01ses10062019010120190105/B6
2019-01-05,pw01ses10082019010120190105/4A
2019-01-06,pw01ses10062019010220190106/A4
2019-01-06,pw01ses10082019010220190106/38
2019-01-12,pw01ses10062019010320190112/43
2019-01-12,pw01ses10082019010320190112/D7
2019-01-13,pw01ses10062019010420190113/31
2019-01-13,pw01ses10082019010420190113/C5
2019-01-14,pw01ses10062019010520190114/1F
2019-01-14,pw01ses10082019010520190114/B3
2019-01-19,pw01ses10062019010620190119/F9
2019-01-19,pw01ses10072019010120190119/04
2019-01-19,pw01ses10082019010620190119/8D
2019-01-20,pw01ses10062019010720190120/31
2019-01-20,pw01ses10072019010220190120/3C
2019-01-20,pw01ses10082019010720190120/C5
2019-01-26,pw01ses10052019010120190126/17
2019-01-26,pw01ses10072019010320190126/91
2019-01-26,pw01ses10082019020120190126/26
2019-01-27,pw01ses10052019010220190127/05
2019-01-27,pw01ses10072019010420190127/7F
2019-01-27,pw01ses10082019020220190127/14
2019-02-02,pw01ses10052019010320190202/1A
2019-02-02,pw01ses10072019010520190202/94
2019-02-02,pw01ses10082019020320190202/29
2019-02-03,pw01ses10052019010420190203/08
2019-02-03,pw01ses10072019010620190203/82
2019-02-03,pw01ses10082019020420190203/17
2019-02-09,pw01ses10082019020520190209/6C
2019-02-09,pw01ses10102019010120190209/48
2019-02-10,pw01ses10052019010620190210/95
2019-02-10,pw01ses10082019020620190210/A4
2019-02-10,pw01ses10102019010220190210/80
2019-02-11,pw01ses10052019010520190211/9D
2019-02-16,pw01ses10052019010720190216/EA
2019-02-16,pw01ses10082019020720190216/F9
2019-02-16,pw01ses10102019010320190216/D5
2019-02-17,pw01ses10052019010820190217/D8
2019-02-17,pw01ses10082019020820190217/E7
2019-02-17,pw01ses10102019010420190217/C3
2019-02-23,pw01ses10062019020120190223/5A
2019-02-23,pw01ses10092019010120190223/07
2019-02-23,pw01ses10102019010520190223/62
2019-02-24,pw01ses10062019020220190224/48
2019-02-24,pw01ses10092019010220190224/F5
2019-02-24,pw01ses10102019010620190224/50
2019-03-02,pw01ses10062019020320190302/CE
2019-03-02,pw01ses10092019010320190302/7B
2019-03-02,pw01ses10102019010720190302/D6
2019-03-03,pw01ses10062019020420190303/BC
2019-03-03,pw01ses10092019010420190303/69
2019-03-03,pw01ses10102019010820190303/C4
2019-03-09,pw01ses10062019020520190309/11
2019-03-09,pw01ses10072019020120190309/8F
2019-03-09,pw01ses10092019010520190309/BE
2019-03-10,pw01ses10062019020620190310/49
2019-03-10,pw01ses10072019020220190310/C7
2019-03-10,pw01ses10092019010620190310/F6
2019-03-16,pw01ses10062019020720190316/9E
2019-03-16,pw01ses10072019020320190316/1C
2019-03-16,pw01ses10092019010720190316/4B
2019-03-17,pw01ses10062019020820190317/8C
2019-03-17,pw01ses10072019020420190317/0A
2019-03-17,pw01ses10092019010820190317/39
2019-03-23,pw01ses10062019030120190323/C4
2019-03-23,pw01ses10072019020520190323/A9
2019-03-23,pw01ses10092019020120190323/71
2019-03-24,pw01ses10062019030220190324/B2
2019-03-24,pw01ses10072019020620190324/97
2019-03-24,pw01ses10092019020220190324/5F
2019-03-30,pw01ses10062019030320190330/51
2019-03-30,pw01ses10092019020320190330/FE
2019-03-31,pw01ses10062019030420190331/3F
2019-03-31,pw01ses10092019020420190331/EC
2019-04-06,pw01ses10032019010120190406/FE
2019-04-06,pw01ses10062019030520190406/0A
2019-04-06,pw01ses10092019020520190406/B7
2019-04-07,pw01ses10032019010220190407/EC
2019-04-07,pw01ses10062019030620190407/F8
2019-04-07,pw01ses10092019020620190407/A5
2019-04-13,pw01ses10032019010320190413/8B
2019-04-13,pw01ses10062019030720190413/97
2019-04-13,pw01ses10092019020720190413/44
2019-04-14,pw01ses10032019010420190414/79
2019-04-14,pw01ses10062019030820190414/85
2019-04-14,pw01ses10092019020820190414/32
2019-04-20,pw01ses10032019010520190420/18
2019-04-20,pw01ses10052019020120190420/11
2019-04-20,pw01ses10082019030120190420/20
2019-04-21,pw01ses10032019010620190421/06
2019-04-21,pw01ses10052019020220190421/FF
2019-04-21,pw01ses10082019030220190421/0E
